anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
31587,Kojin Toshi,Personal City,個人都市,,https://myanimelist.cdn-dena.com/images/anime/12/76311.jpg,Movie,Unknown,1,Finished Airing,False,1990,"{'from': None, 'to': None}",23 min.,G - All Ages,4.65,70,9292,11116,213,1,,,,[],,,,Dementia,[],[]
34037,Kitakaze no Kureta Table-kake,,きたかぜのくれたテーブルかけ,The Boy and the North Wind,https://myanimelist.cdn-dena.com/images/anime/3/81956.jpg,Movie,Other,1,Finished Airing,False,1967,"{'from': None, 'to': None}",13 min.,G - All Ages,4.55,11,10900,13898,54,0,,,,[],Gakken,,Gakken Eigakyoku,"Fantasy, Historical",[],[]
4907,Daikyouryuu Jidai,,大恐竜時代,Age of the Great Dinosaurs,https://myanimelist.cdn-dena.com/images/anime/3/23186.jpg,Movie,Unknown,1,Finished Airing,False,"Jul 10, 1979","{'from': '1979-07-10', 'to': '1979-07-10'}",1 hr. 19 min.,PG - Children,6.08,110,7134,10172,349,0,,,,[],,,Toei Animation,Sci-Fi,[],[]
4921,Ramayana: The Legend of Prince Rama,Ramayana: The Legend of Prince Rama,ラーマヤーナ ラーマ王子伝説,"Ramayana: Rama Ouji Densetsu, The Warrior Prince",https://myanimelist.cdn-dena.com/images/anime/4/67629.jpg,Movie,Unknown,1,Finished Airing,False,"Mar 10, 1992","{'from': '1992-03-10', 'to': '1992-03-10'}",2 hr. 15 min.,G - All Ages,7.48,407,1702,8703,800,6,,,,[],,,,Adventure,[],[]
13431,Himitsukessha Taka no Tsume NEO,,秘密結社鷹の爪 NEO,Eagle Talon NEO,https://myanimelist.cdn-dena.com/images/anime/6/82813.jpg,TV,Unknown,38,Finished Airing,False,"Apr 6, 2012 to Feb 15, 2013","{'from': '2012-04-06', 'to': '2013-02-15'}",5 min. per ep.,PG-13 - Teens 13 or older,6,41,10454,10809,248,0,,Spring 2012,Unknown,"{'Sequel': [{'mal_id': 18241, 'type': 'anime', 'url': 'https://myanimelist.net/anime/18241/Himitsukessha_Taka_no_Tsume_MAX', 'title': 'Himitsukessha Taka no Tsume MAX'}], 'Prequel': [{'mal_id': 30753, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30753/Himitsukessha_Taka_no_Tsume_The_Movie_4__Kaspersky_wo_Motsu_Otoko', 'title': 'Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko'}]}",,,DLE,"Comedy, Parody, Super Power",[],[]
13165,Paboo & Mojies,Paboo & Mojies,パブー＆モジーズ,,https://myanimelist.cdn-dena.com/images/anime/11/36873.jpg,TV,Original,52,Finished Airing,False,"Apr 2, 2012 to Mar 2, 2013","{'from': '2012-04-02', 'to': '2013-03-02'}",11 min. per ep.,G - All Ages,4.64,11,11702,11988,149,0,,Spring 2012,Not scheduled once per week,[],,Nelvana,Dongwoo A&amp;E,Kids,"['""DA・BI・DA・GO!"" by Shoko Haida']","['""Moji Moji Mo~ji Moji (モジモジモ〜ジモジ)"" by mao']"
1122,Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,Pokemon: Destiny Deoxys,ポケットモンスター アドバンスジェネレーション 裂空の訪問者 デオキシス,"Gekijouban Pocket Monsters Advanced Generation: The Visitor of the Space Fissure! Deoxys, Pokemon Movie 7",https://myanimelist.cdn-dena.com/images/anime/9/21313.jpg,Movie,Game,1,Finished Airing,False,"Jul 17, 2004","{'from': '2004-07-17', 'to': '2004-07-17'}",1 hr. 38 min.,PG - Children,7.08,36143,3279,1399,57247,66,,,,"{'Adaptation': [{'mal_id': 24225, 'type': 'manga', 'url': 'https://myanimelist.net/manga/24225/Gekijouban_Pocket_Monster_AG__Rekkuu_no_Houmonsha_Deoxys', 'title': 'Gekijouban Pocket Monster AG: Rekkuu no Houmonsha Deoxys'}], 'Parent story': [{'mal_id': 1564, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation', 'title': 'Pokemon Advanced Generation'}]}",Studio Jack,"4Kids Entertainment, Miramax Films",OLM,"Action, Adventure, Comedy, Fantasy, Kids, Sci-Fi",[],"['""L-O-V-E-L-Y: Yumemiru Lovely Boy (L・O・V・E・L・Y ～夢見るLOVELY BOY～)"" by Tommy February6']"
16726,gdgd Fairies 2,,gdgd妖精s 2期,"Gudaguda Fairies 2, Rambling Fairies 2",https://myanimelist.cdn-dena.com/images/anime/10/45350.jpg,TV,Original,12,Finished Airing,False,"Jan 10, 2013 to Mar 28, 2013","{'from': '2013-01-10', 'to': '2013-03-28'}",15 min. per ep.,PG - Children,7.1,796,3203,7311,1614,10,,Winter 2013,Unknown,"{'Prequel': [{'mal_id': 16912, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16912/gdgd_Fairies_2_Episode_0', 'title': 'gdgd Fairies 2 Episode 0'}], 'Side story': [{'mal_id': 24071, 'type': 'anime', 'url': 'https://myanimelist.net/anime/24071/gdgd_Fairies_Movie__tte_Iu_Eiga_wa_Dou_kana', 'title': 'gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?'}], 'Sequel': [{'mal_id': 36797, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36797/gdMen', 'title': 'gdMen'}]}","Strawberry Meets Pictures, Bouncy",,,"Comedy, Fantasy",[],[]
19233,Around,,around,,https://myanimelist.cdn-dena.com/images/anime/7/68975.jpg,Movie,Original,1,Finished Airing,False,2007,"{'from': None, 'to': None}",3 min.,PG-13 - Teens 13 or older,5.65,344,8093,9063,652,1,,,,[],,,,Slice of Life,[],[]
2224,Hikari no Densetsu,,光の伝説,"Legend of Light, The Story of Hikari",https://myanimelist.cdn-dena.com/images/anime/7/30581.jpg,TV,Manga,19,Finished Airing,False,"May 3, 1986 to Sep 20, 1986","{'from': '1986-05-03', 'to': '1986-09-20'}",24 min. per ep.,PG - Children,6.69,843,4796,6247,2658,14,,Spring 1986,Unknown,"{'Adaptation': [{'mal_id': 11021, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11021/Hikari_no_Densetsu', 'title': 'Hikari no Densetsu'}]}",,,Tatsunoko Production,"Music, Romance, Shoujo, Sports","['""Haato no Kisetsu"" by Tsukasa Ito']","['""Kataomoi no Hamingo"" by Tsukasa Ito']"
34186,Tsuki to Azarashi,,月とあざらし,,https://myanimelist.cdn-dena.com/images/anime/5/82208.jpg,OVA,Book,1,Finished Airing,False,2012,"{'from': None, 'to': None}",19 min.,G - All Ages,6,1,12510,14033,45,0,,,,[],,,,Kids,[],[]
26023,Haiyore! Nyaruko-san F,,這いよれ！ニャル子さんF,,https://myanimelist.cdn-dena.com/images/anime/7/73735.jpg,OVA,Light novel,1,Finished Airing,False,"Jun 19, 2015","{'from': '2015-06-19', 'to': '2015-06-19'}",27 min.,PG-13 - Teens 13 or older,7.64,15189,1243,2100,30247,56,,,,"{'Adaptation': [{'mal_id': 23485, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23485/Haiyore_Nyaruko-san', 'title': 'Haiyore! Nyaruko-san'}], 'Prequel': [{'mal_id': 15699, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15699/Haiyore_Nyaruko-san_W', 'title': 'Haiyore! Nyaruko-san W'}]}","Sotsu, Studio Mausu, DIVE II Entertainment, Avex Pictures",,Xebec,"Sci-Fi, Comedy, Parody, Romance","['""Haiyore Once Nyagain (這いよれOnce Nyagain)"" by Ushiro kara Haiyori-tai G (後ろから這いより隊G)']","['""Kitto Engage (きっとエンゲージ)"" by RAMM ni Haiyoru Nyaruko-san (RAMMに這いよるニャル子さん)']"
